city_ascii,Defining Parameter,Date,AQI
Americus,Ozone,2002-03-17,33.714285714285715
Americus,Ozone,2002-03-24,43.0
Americus,Ozone,2002-03-31,45.42857142857143
Americus,Ozone,2002-04-07,52.714285714285715
Americus,Ozone,2002-04-14,35.0
Americus,Ozone,2002-04-21,41.142857142857146
Americus,Ozone,2002-04-28,51.142857142857146
Americus,Ozone,2002-05-05,37.0
Americus,Ozone,2002-05-12,48.857142857142854
Americus,Ozone,2002-05-19,52.0
Americus,Ozone,2002-05-26,73.85714285714286
Americus,Ozone,2002-06-02,53.0
Americus,Ozone,2002-06-09,57.5
Americus,Ozone,2002-06-16,65.71428571428571
Americus,Ozone,2002-06-23,43.42857142857143
Americus,Ozone,2002-06-30,26.857142857142858
Americus,Ozone,2002-07-07,70.14285714285714
Americus,Ozone,2002-07-14,34.42857142857143
Americus,Ozone,2002-07-21,47.0
Americus,Ozone,2002-07-28,45.0
Americus,Ozone,2002-08-18,34.8
Americus,Ozone,2002-08-25,39.0
Americus,Ozone,2002-09-01,31.285714285714285
Americus,Ozone,2002-09-08,38.42857142857143
Americus,Ozone,2002-09-15,62.714285714285715
Americus,Ozone,2002-09-22,32.285714285714285
Americus,Ozone,2002-09-29,27.857142857142858
Americus,Ozone,2002-10-06,32.57142857142857
Americus,Ozone,2002-10-13,31.285714285714285
Americus,Ozone,2002-10-20,32.714285714285715
Americus,Ozone,2002-10-27,20.857142857142858
Americus,Ozone,2002-11-03,25.25
Americus,Ozone,2003-03-09,30.857142857142858
Americus,Ozone,2003-03-16,37.857142857142854
Americus,Ozone,2003-03-23,37.0
Americus,Ozone,2003-03-30,68.28571428571429
Americus,Ozone,2003-04-06,44.42857142857143
Americus,Ozone,2003-04-13,47.857142857142854
Americus,Ozone,2003-04-20,60.714285714285715
Americus,Ozone,2003-04-27,53.285714285714285
Americus,Ozone,2003-05-04,58.142857142857146
Americus,Ozone,2003-05-11,25.857142857142858
Americus,Ozone,2003-05-18,38.857142857142854
Americus,Ozone,2003-05-25,35.42857142857143
Americus,Ozone,2003-06-01,67.71428571428571
Americus,Ozone,2003-06-08,45.57142857142857
Americus,Ozone,2003-06-15,29.285714285714285
Americus,Ozone,2003-06-22,45.57142857142857
Americus,Ozone,2003-06-29,59.285714285714285
Americus,Ozone,2003-07-06,25.0
Americus,Ozone,2003-08-03,30.666666666666668
Americus,Ozone,2003-08-10,36.142857142857146
Americus,Ozone,2003-08-17,26.6
Americus,Ozone,2003-08-24,32.0
Americus,Ozone,2003-08-31,31.0
Americus,Ozone,2003-09-07,31.0
